query6: Parejas de productos que aparecen en más de un carro
   pr_1    |   pr_2    | sum_carros 
 S24_2972  | S12_3380  |         26
 S24_2972  | S12_3990  |         22
 S24_2972  | S12_4675  |         34
 S24_2972  | S18_1129  |         36
 S24_2972  | S18_1589  |         24
 S24_2972  | S18_1749  |          4
 S24_2972  | S18_1889  |         38
 S24_2972  | S18_1984  |         34
 S24_2972  | S18_2248  |          2
 S24_2972  | S18_2325  |          4
 S24_2972  | S18_2795  |          4
 S24_2972  | S18_2870  |         24
 S24_2972  | S18_3232  |         42
 S24_2972  | S18_3278  |         22
 S24_2972  | S18_3482  |         24
 S24_2972  | S18_3685  |         26
 S24_2972  | S18_3782  |         14
 S24_2972  | S18_4409  |          2
 S24_2972  | S18_4721  |         18
 S24_2972  | S18_4933  |          2
 S24_2972  | S24_1046  |         10
 S24_2972  | S24_1628  |         16
 S24_2972  | S24_1937  |          2
 S24_2972  | S24_2022  |          2
 S24_2972  | S24_2360  |          6
 S24_2972  | S24_2766  |          6
 S24_2972  | S24_2887  |          2
 S24_3151  | S10_2016  |          2
 S24_3151  | S10_4698  |          2
 S24_3151  | S10_4757  |         30
 S24_3151  | S12_1108  |         10
 S24_3151  | S12_3148  |          8
 S24_3151  | S12_3891  |         12
 S24_3151  | S18_1662  |         10
 S24_3151  | S18_2581  |          4
 S24_3151  | S18_2625  |          2
 S24_3151  | S18_3029  |         22
 S24_3151  | S18_3140  |         24
 S24_3151  | S18_3259  |         26
 S24_3151  | S18_3856  |         16
 S24_3151  | S18_4027  |          6
 S24_3151  | S18_4522  |         34
 S24_3151  | S24_1578  |          2
 S24_3151  | S24_1785  |          4
 S24_3151  | S24_2011  |         40
 S24_3151  | S24_2841  |         12
 S24_3191  | S12_3380  |          2
 S24_3191  | S12_4675  |          6
 S24_3191  | S18_1129  |         12
 S24_3191  | S18_1342  |         10
 S24_3191  | S18_1367  |          6
 S24_3191  | S18_1589  |         24
 S24_3191  | S18_1749  |         24
 S24_3191  | S18_1889  |          6
 S24_3191  | S18_1984  |         12
 S24_3191  | S18_2248  |         24
 S24_3191  | S18_2325  |         22
 S24_3191  | S18_2795  |         10
 S24_3191  | S18_2870  |         20
 S24_3191  | S18_2957  |          2
 S24_3191  | S18_3136  |          2
 S24_3191  | S18_3232  |          8
 S24_3191  | S18_3320  |          4
 S24_3191  | S18_3685  |         16
 S24_3191  | S18_4409  |         32
 S24_3191  | S18_4933  |         38
 S24_3191  | S24_1046  |         42
 S24_3191  | S24_1628  |         30
 S24_3191  | S24_1937  |         20
 S24_3191  | S24_2022  |         14
 S24_3191  | S24_2766  |         50
 S24_3191  | S24_2887  |         44
 S24_3191  | S24_2972  |          6
 S24_3371  | S10_1678  |          4
 S24_3371  | S10_2016  |          2
 S24_3371  | S10_4698  |          2
 S24_3371  | S12_1099  |         44
 S24_3371  | S12_2823  |          8
 S24_3371  | S12_3380  |         38
 S24_3371  | S12_3990  |         44
 S24_3371  | S12_4675  |         28
 S24_3371  | S18_1129  |         22
 S24_3371  | S18_1589  |         12
 S24_3371  | S18_1749  |          2
 S24_3371  | S18_1889  |         30
 S24_3371  | S18_1984  |         20
 S24_3371  | S18_2325  |          2
 S24_3371  | S18_2625  |          2
 S24_3371  | S18_2795  |          2
 S24_3371  | S18_2870  |         12
 S24_3371  | S18_3232  |         22
 S24_3371  | S18_3278  |         42
 S24_3371  | S18_3482  |         46
 S24_3371  | S18_3685  |         12
 S24_3371  | S18_3782  |         28
 S24_3371  | S18_4721  |         36
 S24_3371  | S24_1578  |          4
 S24_3371  | S24_1628  |          4
 S24_3371  | S24_2000  |          2
 S24_3371  | S24_2360  |         18
 S24_3371  | S24_2972  |         32
 S24_3420  | S10_1678  |          2
 S24_3420  | S10_2016  |          4
 S24_3420  | S10_4698  |          2
 S24_3420  | S10_4757  |         26
 S24_3420  | S18_1662  |         44
 S24_3420  | S18_2581  |         10
 S24_3420  | S18_2625  |          2
 S24_3420  | S18_3029  |         36
 S24_3420  | S18_3856  |         44
 S24_3420  | S24_1578  |          2
 S24_3420  | S24_1785  |         16
 S24_3420  | S24_2011  |          2
 S24_3420  | S24_2841  |         54
 S24_3420  | S24_3151  |         10
 S24_3432  | S12_3380  |          2
 S24_3432  | S12_4675  |          6
 S24_3432  | S18_1129  |         14
 S24_3432  | S18_1342  |          8
 S24_3432  | S18_1367  |          4
 S24_3432  | S18_1589  |         28
 S24_3432  | S18_1749  |         20
 S24_3432  | S18_1889  |          6
 S24_3432  | S18_1984  |         16
 S24_3432  | S18_2248  |         22
 S24_3432  | S18_2325  |         20
 S24_3432  | S18_2795  |          8
 S24_3432  | S18_2870  |         24
 S24_3432  | S18_2957  |          2
 S24_3432  | S18_3136  |          2
 S24_3432  | S18_3232  |         10
 S24_3432  | S18_3320  |          2
 S24_3432  | S18_3685  |         20
 S24_3432  | S18_4409  |         28
 S24_3432  | S18_4933  |         34
 S24_3432  | S24_1046  |         46
 S24_3432  | S24_1628  |         34
 S24_3432  | S24_1937  |         18
 S24_3432  | S24_2022  |         12
 S24_3432  | S24_2766  |         46
 S24_3432  | S24_2887  |         40
 S24_3432  | S24_2972  |          8
 S24_3432  | S24_3191  |         46
 S24_3816  | S10_2016  |          2
 S24_3816  | S10_4698  |          2
 S24_3816  | S10_4757  |         42
 S24_3816  | S12_1108  |          2
 S24_3816  | S12_3891  |          4
 S24_3816  | S18_1662  |         30
 S24_3816  | S18_2581  |          4
 S24_3816  | S18_2625  |          2
 S24_3816  | S18_3029  |         44
 S24_3816  | S18_3140  |         14
 S24_3816  | S18_3259  |         16
 S24_3816  | S18_3856  |         38
 S24_3816  | S18_4522  |         20
 S24_3816  | S24_1578  |          2
 S24_3816  | S24_1785  |          8
 S24_3816  | S24_2011  |         24
 S24_3816  | S24_2841  |         34
 S24_3816  | S24_3151  |         32
 S24_3816  | S24_3420  |         32
 S24_3856  | S12_1099  |         26
 S24_3856  | S12_3380  |         32
 S24_3856  | S12_3990  |         26
 S24_3856  | S12_4675  |         40
 S24_3856  | S18_1129  |         32
 S24_3856  | S18_1589  |         22
 S24_3856  | S18_1749  |          2
 S24_3856  | S18_1889  |         44
 S24_3856  | S18_1984  |         30
 S24_3856  | S18_2325  |          2
 S24_3856  | S18_2795  |          2
 S24_3856  | S18_2870  |         22
 S24_3856  | S18_3232  |         38
 S24_3856  | S18_3278  |         26
 S24_3856  | S18_3482  |         28
 S24_3856  | S18_3685  |         22
 S24_3856  | S18_3782  |         18
 S24_3856  | S18_4721  |         22
 S24_3856  | S24_1046  |          8
 S24_3856  | S24_1628  |         14
 S24_3856  | S24_2000  |          2
 S24_3856  | S24_2360  |         10
 S24_3856  | S24_2766  |          6
 S24_3856  | S24_2887  |          2
 S24_3856  | S24_2972  |         48
 S24_3856  | S24_3191  |          6
 S24_3856  | S24_3371  |         36
 S24_3856  | S24_3432  |          8
 S24_3949  | S10_1678  |          6
 S24_3949  | S10_2016  |         12
 S24_3949  | S10_4698  |         10
 S24_3949  | S10_4757  |         14
 S24_3949  | S18_1662  |         38
 S24_3949  | S18_2581  |         28
 S24_3949  | S18_2625  |         10
 S24_3949  | S18_3029  |         24
 S24_3949  | S18_3856  |         28
 S24_3949  | S24_1578  |          6
 S24_3949  | S24_1785  |         34
 S24_3949  | S24_2000  |         12
 S24_3949  | S24_2841  |         36
 S24_3949  | S24_3151  |          8
 S24_3949  | S24_3420  |         38
 S24_3949  | S24_3816  |         20
 S24_3969  | S10_1949  |          4
 S24_3969  | S18_1097  |          4
 S24_3969  | S18_1129  |          2
 S24_3969  | S18_1342  |         24
 S24_3969  | S18_1367  |         20
 S24_3969  | S18_1589  |          6
 S24_3969  | S18_1749  |         36
 S24_3969  | S18_1984  |          2
 S24_3969  | S18_2248  |         40
 S24_3969  | S18_2325  |         38
 S24_3969  | S18_2795  |         26
 S24_3969  | S18_2870  |          2
 S24_3969  | S18_2949  |          6
 S24_3969  | S18_2957  |         10
 S24_3969  | S18_3136  |         10
 S24_3969  | S18_3320  |         16
 S24_3969  | S18_3685  |          2
 S24_3969  | S18_4409  |         34
 S24_3969  | S18_4668  |          2
 S24_3969  | S18_4933  |         26
 S24_3969  | S24_1046  |         20
 S24_3969  | S24_1628  |         12
 S24_3969  | S24_1937  |         36
 S24_3969  | S24_2022  |         30
 S24_3969  | S24_2766  |         26
 S24_3969  | S24_2887  |         28
 S24_3969  | S24_3191  |         26
 S24_3969  | S24_3432  |         24
 S24_4048  | S10_4757  |          4
 S24_4048  | S10_4962  |          4
 S24_4048  | S12_1108  |         22
 S24_4048  | S12_3148  |         20
 S24_4048  | S12_3891  |         22
 S24_4048  | S12_4473  |         34
 S24_4048  | S18_2238  |         40
 S24_4048  | S18_2319  |         28
 S24_4048  | S18_2432  |         14
 S24_4048  | S18_3140  |         12
 S24_4048  | S18_3232  |         30
 S24_4048  | S18_3259  |         12
 S24_4048  | S18_4027  |         30
 S24_4048  | S18_4522  |          2
 S24_4048  | S18_4600  |          4
 S24_4048  | S24_1444  |         48
 S24_4048  | S24_2300  |         16
 S24_4048  | S24_2840  |         34
 S24_4258  | S10_1949  |         24
 S24_4258  | S10_4962  |          6
 S24_4258  | S12_1108  |          4
 S24_4258  | S12_1666  |         12
 S24_4258  | S12_3148  |         10
 S24_4258  | S12_3891  |          2
 S24_4258  | S12_4473  |          8
 S24_4258  | S18_1097  |         20
 S24_4258  | S18_1342  |         24
 S24_4258  | S18_1367  |         26
 S24_4258  | S18_1749  |         10
 S24_4258  | S18_2238  |          8
 S24_4258  | S18_2248  |         10
 S24_4258  | S18_2319  |          6
 S24_4258  | S18_2325  |         12
 S24_4258  | S18_2432  |          4
 S24_4258  | S18_2795  |         18
 S24_4258  | S18_2949  |         36
 S24_4258  | S18_2957  |         40
 S24_4258  | S18_3136  |         38
 S24_4258  | S18_3232  |          4
 S24_4258  | S18_3320  |         42
 S24_4258  | S18_4027  |          4
 S24_4258  | S18_4409  |          6
 S24_4258  | S18_4600  |         10
 S24_4258  | S18_4668  |         26
 S24_4258  | S18_4933  |          4
 S24_4258  | S24_1444  |          4
 S24_4258  | S24_1937  |         12
 S24_4258  | S24_2022  |         16
 S24_4258  | S24_2300  |         14
 S24_4258  | S24_2840  |          4
 S24_4258  | S24_2887  |          2
 S24_4258  | S24_3969  |         10
 S24_4278  | S10_1678  |         14
 S24_4278  | S10_2016  |         18
 S24_4278  | S10_4698  |         16
 S24_4278  | S12_1099  |          2
 S24_4278  | S12_2823  |          6
 S24_4278  | S18_1662  |         14
 S24_4278  | S18_2581  |         46
 S24_4278  | S18_2625  |         16
 S24_4278  | S18_3029  |          6
 S24_4278  | S18_3856  |          8
 S24_4278  | S24_1578  |         12
 S24_4278  | S24_1785  |         46
 S24_4278  | S24_2000  |         26
 S24_4278  | S24_2360  |          4
 S24_4278  | S24_2841  |         10
 S24_4278  | S24_3420  |         12
 S24_4278  | S24_3949  |         30
 S24_4620  | S10_1678  |          8
 S24_4620  | S10_2016  |          4
 S24_4620  | S10_4698  |          6
 S24_4620  | S12_1099  |         30
 S24_4620  | S12_2823  |         14
 S24_4620  | S12_3380  |         24
 S24_4620  | S12_3990  |         30
 S24_4620  | S12_4675  |         16
 S24_4620  | S18_1129  |         12
 S24_4620  | S18_1589  |          6
 S24_4620  | S18_1749  |          2
 S24_4620  | S18_1889  |         16
 S24_4620  | S18_1984  |         10
 S24_4620  | S18_2325  |          2
 S24_4620  | S18_2625  |          4
 S24_4620  | S18_2795  |          2
 S24_4620  | S18_2870  |          6
 S24_4620  | S18_3232  |         10
 S24_4620  | S18_3278  |         40
 S24_4620  | S18_3482  |         40
 S24_4620  | S18_3685  |          6
 S24_4620  | S18_3782  |         40
 S24_4620  | S18_4721  |         48
 S24_4620  | S24_1578  |          8
 S24_4620  | S24_1628  |          2
 S24_4620  | S24_2000  |          4
 S24_4620  | S24_2360  |         32
 S24_4620  | S24_2972  |         20
 S24_4620  | S24_3371  |         38
 S24_4620  | S24_3856  |         24
 S32_1268  | S10_1949  |         16
 S32_1268  | S10_4962  |         38
 S32_1268  | S12_1108  |          6
 S32_1268  | S12_1666  |         24
 S32_1268  | S12_3148  |         10
 S32_1268  | S12_3891  |          2
 S32_1268  | S12_4473  |         28
 S32_1268  | S18_1097  |         18
 S32_1268  | S18_1367  |          2
 S32_1268  | S18_2238  |         22
 S32_1268  | S18_2319  |         28
 S32_1268  | S18_2432  |         34
 S32_1268  | S18_2949  |          8
 S32_1268  | S18_2957  |          6
 S32_1268  | S18_3136  |          8
 S32_1268  | S18_3232  |         26
 S32_1268  | S18_3320  |          6
 S32_1268  | S18_4027  |          6
 S32_1268  | S18_4600  |         42
 S32_1268  | S18_4668  |         32
 S32_1268  | S24_1444  |         16
 S32_1268  | S24_2300  |         46
 S32_1268  | S24_2840  |         28
 S32_1268  | S24_4048  |          8
 S32_1268  | S24_4258  |         14
 S32_1374  | S10_1678  |         24
 S32_1374  | S10_2016  |         28
 S32_1374  | S10_4698  |         28
 S32_1374  | S12_1099  |          6
 S32_1374  | S12_2823  |         14
 S32_1374  | S12_3380  |          4
 S32_1374  | S12_3990  |          4
 S32_1374  | S12_4675  |          4
 S32_1374  | S18_1662  |          6
 S32_1374  | S18_1889  |          4
 S32_1374  | S18_2581  |         38
 S32_1374  | S18_2625  |         28
 S32_1374  | S18_3278  |          4
 S32_1374  | S18_3482  |          2
 S32_1374  | S18_3782  |          2
 S32_1374  | S18_4721  |          2
 S32_1374  | S24_1578  |         24
 S32_1374  | S24_1785  |         34
 S32_1374  | S24_2000  |         40
 S32_1374  | S24_2360  |          8
 S32_1374  | S24_3371  |          2
 S32_1374  | S24_3856  |          2
 S32_1374  | S24_3949  |         16
 S32_1374  | S24_4278  |         40
 S32_1374  | S24_4620  |          2
 S32_2206  | S10_1678  |         16
 S32_2206  | S10_2016  |          8
 S32_2206  | S10_4698  |         14
 S32_2206  | S12_1099  |         16
 S32_2206  | S12_2823  |         24
 S32_2206  | S12_3380  |         10
 S32_2206  | S12_3990  |         16
 S32_2206  | S12_4675  |          8
 S32_2206  | S18_1129  |          8
 S32_2206  | S18_1589  |          6
 S32_2206  | S18_1749  |          2
 S32_2206  | S18_1889  |          8
 S32_2206  | S18_1984  |          8
 S32_2206  | S18_2325  |          2
 S32_2206  | S18_2581  |          2
 S32_2206  | S18_2625  |          8
 S32_2206  | S18_2795  |          2
 S32_2206  | S18_2870  |          4
 S32_2206  | S18_3232  |          6
 S32_2206  | S18_3278  |         26
 S32_2206  | S18_3482  |         26
 S32_2206  | S18_3685  |          4
 S32_2206  | S18_3782  |         42
 S32_2206  | S18_4721  |         36
 S32_2206  | S24_1578  |         16
 S32_2206  | S24_1628  |          2
 S32_2206  | S24_1785  |          2
 S32_2206  | S24_2000  |          6
 S32_2206  | S24_2360  |         42
 S32_2206  | S24_2972  |         14
 S32_2206  | S24_3371  |         24
 S32_2206  | S24_3856  |         16
 S32_2206  | S24_4278  |          2
 S32_2206  | S24_4620  |         40
 S32_2206  | S32_1374  |          4
 S32_2509  | S10_4757  |          4
 S32_2509  | S10_4962  |         18
 S32_2509  | S12_1108  |         10
 S32_2509  | S12_1666  |          6
 S32_2509  | S12_3148  |          6
 S32_2509  | S12_3891  |         10
 S32_2509  | S12_4473  |         42
 S32_2509  | S18_2238  |         36
 S32_2509  | S18_2319  |         44
 S32_2509  | S18_2432  |         30
 S32_2509  | S18_3140  |          4
 S32_2509  | S18_3232  |         46
 S32_2509  | S18_3259  |          4
 S32_2509  | S18_4027  |         16
 S32_2509  | S18_4522  |          2
 S32_2509  | S18_4600  |         18
 S32_2509  | S18_4668  |          4
 S32_2509  | S24_1444  |         36
 S32_2509  | S24_2300  |         32
 S32_2509  | S24_2840  |         50
 S32_2509  | S24_4048  |         36
 S32_2509  | S32_1268  |         26
 S32_3207  | S10_4757  |          6
 S32_3207  | S10_4962  |          2
 S32_3207  | S12_1108  |         32
 S32_3207  | S12_3148  |         30
 S32_3207  | S12_3891  |         30
 S32_3207  | S12_4473  |         20
 S32_3207  | S18_2238  |         26
 S32_3207  | S18_2319  |         16
 S32_3207  | S18_2432  |          6
 S32_3207  | S18_3029  |          2
 S32_3207  | S18_3140  |         18
 S32_3207  | S18_3232  |         18
 S32_3207  | S18_3259  |         18
 S32_3207  | S18_4027  |         38
 S32_3207  | S18_4522  |          8
 S32_3207  | S18_4600  |          2
 S32_3207  | S24_1444  |         34
 S32_3207  | S24_2011  |          6
 S32_3207  | S24_2300  |          8
 S32_3207  | S24_2840  |         22
 S32_3207  | S24_3151  |          6
 S32_3207  | S24_3816  |          2
 S32_3207  | S24_4048  |         40
 S32_3207  | S32_1268  |          6
 S32_3207  | S32_2509  |         24
 S32_3522  | S10_1949  |         30
 S32_3522  | S10_4962  |         34
 S32_3522  | S12_1108  |          4
 S32_3522  | S12_1666  |         42
 S32_3522  | S12_3148  |         10
 S32_3522  | S12_3891  |          2
 S32_3522  | S12_4473  |         14
 S32_3522  | S18_1097  |         36
 S32_3522  | S18_1342  |          2
 S32_3522  | S18_1367  |          4
 S32_3522  | S18_2238  |          8
 S32_3522  | S18_2319  |         16
 S32_3522  | S18_2325  |          2
 S32_3522  | S18_2432  |         22
 S32_3522  | S18_2795  |          2
 S32_3522  | S18_2949  |         18
 S32_3522  | S18_2957  |         14
 S32_3522  | S18_3136  |         16
 S32_3522  | S18_3232  |         14
 S32_3522  | S18_3320  |         12
 S32_3522  | S18_4027  |          4
 S32_3522  | S18_4600  |         38
 S32_3522  | S18_4668  |         50
 S32_3522  | S24_1444  |          4
 S32_3522  | S24_1937  |          2
 S32_3522  | S24_2022  |          2
 S32_3522  | S24_2300  |         30
 S32_3522  | S24_2840  |         10
 S32_3522  | S24_4258  |         22
 S32_3522  | S32_1268  |         38
 S32_3522  | S32_2509  |          8
 S32_4289  | S10_1678  |         12
 S32_4289  | S10_2016  |         16
 S32_4289  | S10_4698  |         14
 S32_4289  | S10_4757  |          2
 S32_4289  | S12_1099  |          2
 S32_4289  | S12_2823  |          4
 S32_4289  | S18_1662  |         16
 S32_4289  | S18_2581  |         40
 S32_4289  | S18_2625  |         12
 S32_4289  | S18_3029  |          8
 S32_4289  | S18_3856  |         10
 S32_4289  | S24_1578  |          8
 S32_4289  | S24_1785  |         46
 S32_4289  | S24_2000  |         22
 S32_4289  | S24_2360  |          2
 S32_4289  | S24_2841  |         12
 S32_4289  | S24_3420  |         14
 S32_4289  | S24_3816  |          4
 S32_4289  | S24_3949  |         32
 S32_4289  | S24_4278  |         48
 S32_4289  | S32_1374  |         36
 S32_4485  | S10_1678  |         24
 S32_4485  | S10_2016  |          8
 S32_4485  | S10_4698  |         14
 S32_4485  | S12_1099  |         16
 S32_4485  | S12_2823  |         32
 S32_4485  | S12_3380  |          8
 S32_4485  | S12_3990  |         14
 S32_4485  | S12_4675  |          6
 S32_4485  | S18_1129  |          6
 S32_4485  | S18_1589  |          2
 S32_4485  | S18_1749  |          2
 S32_4485  | S18_1889  |          4
 S32_4485  | S18_1984  |          4
 S32_4485  | S18_2325  |          2
 S32_4485  | S18_2581  |          2
 S32_4485  | S18_2625  |          8
 S32_4485  | S18_2795  |          2
 S32_4485  | S18_2870  |          2
 S32_4485  | S18_3232  |          2
 S32_4485  | S18_3278  |         20
 S32_4485  | S18_3482  |         20
 S32_4485  | S18_3685  |          2
 S32_4485  | S18_3782  |         36
 S32_4485  | S18_4721  |         30
 S32_4485  | S24_1578  |         18
 S32_4485  | S24_1785  |          2
 S32_4485  | S24_2000  |          8
 S32_4485  | S24_2360  |         50
 S32_4485  | S24_2972  |          8
 S32_4485  | S24_3371  |         18
 S32_4485  | S24_3856  |         10
 S32_4485  | S24_4278  |          4
 S32_4485  | S24_4620  |         32
 S32_4485  | S32_1374  |          6
 S32_4485  | S32_2206  |         44
 S32_4485  | S32_4289  |          2
 S50_1341  | S10_1678  |         12
 S50_1341  | S10_2016  |         16
 S50_1341  | S10_4698  |         14
 S50_1341  | S10_4757  |          4
 S50_1341  | S12_1099  |          2
 S50_1341  | S12_2823  |          4
 S50_1341  | S18_1662  |         20
 S50_1341  | S18_2581  |         34
 S50_1341  | S18_2625  |         12
 S50_1341  | S18_3029  |         12
 S50_1341  | S18_3856  |         14
 S50_1341  | S24_1578  |          8
 S50_1341  | S24_1785  |         40
 S50_1341  | S24_2000  |         20
 S50_1341  | S24_2360  |          2
 S50_1341  | S24_2841  |         16
 S50_1341  | S24_3420  |         18
 S50_1341  | S24_3816  |          8
 S50_1341  | S24_3949  |         36
 S50_1341  | S24_4278  |         42
 S50_1341  | S32_1374  |         30
 S50_1341  | S32_4289  |         48
 S50_1341  | S32_4485  |          2
 S50_1392  | S10_4757  |          8
 S50_1392  | S10_4962  |          8
 S50_1392  | S12_1108  |         22
 S50_1392  | S12_3148  |         18
 S50_1392  | S12_3891  |         18
 S50_1392  | S12_4473  |         38
 S50_1392  | S18_2238  |         44
 S50_1392  | S18_2319  |         32
 S50_1392  | S18_2432  |         20
 S50_1392  | S18_3029  |          2
 S50_1392  | S18_3140  |         12
 S50_1392  | S18_3232  |         32
 S50_1392  | S18_3259  |         12
 S50_1392  | S18_4027  |         22
 S50_1392  | S18_4522  |          4
 S50_1392  | S18_4600  |          8
 S50_1392  | S24_1444  |         46
 S50_1392  | S24_2011  |          2
 S50_1392  | S24_2300  |         22
 S50_1392  | S24_2840  |         36
 S50_1392  | S24_3151  |          2
 S50_1392  | S24_3816  |          2
 S50_1392  | S24_4048  |         46
 S50_1392  | S32_1268  |         14
 S50_1392  | S32_2509  |         38
 S50_1392  | S32_3207  |         36
 S50_1514  | S10_4757  |         10
 S50_1514  | S12_1108  |         40
 S50_1514  | S12_3148  |         40
 S50_1514  | S12_3891  |         40
 S50_1514  | S12_4473  |         10
 S50_1514  | S18_2238  |         16
 S50_1514  | S18_2319  |         10
 S50_1514  | S18_2432  |          2
 S50_1514  | S18_3029  |          2
 S50_1514  | S18_3140  |         28
 S50_1514  | S18_3232  |         10
 S50_1514  | S18_3259  |         28
 S50_1514  | S18_4027  |         42
 S50_1514  | S18_4522  |         20
 S50_1514  | S24_1444  |         20
 S50_1514  | S24_2011  |         18
 S50_1514  | S24_2300  |          2
 S50_1514  | S24_2840  |         12
 S50_1514  | S24_3151  |         10
 S50_1514  | S24_3816  |          2
 S50_1514  | S24_4048  |         26
 S50_1514  | S32_2509  |         14
 S50_1514  | S32_3207  |         38
 S50_1514  | S50_1392  |         28
 S50_4713  | S10_1678  |         24
 S50_4713  | S10_2016  |          8
 S50_4713  | S10_4698  |         14
 S50_4713  | S12_1099  |         16
 S50_4713  | S12_2823  |         32
 S50_4713  | S12_3380  |          8
 S50_4713  | S12_3990  |         14
 S50_4713  | S12_4675  |          6
 S50_4713  | S18_1129  |          8
 S50_4713  | S18_1342  |          2
 S50_4713  | S18_1367  |          2
 S50_4713  | S18_1589  |          2
 S50_4713  | S18_1749  |          2
 S50_4713  | S18_1889  |          4
 S50_4713  | S18_1984  |          6
 S50_4713  | S18_2325  |          4
 S50_4713  | S18_2581  |          2
 S50_4713  | S18_2625  |          8
 S50_4713  | S18_2795  |          4
 S50_4713  | S18_2870  |          2
 S50_4713  | S18_3232  |          2
 S50_4713  | S18_3278  |         20
 S50_4713  | S18_3482  |         18
 S50_4713  | S18_3685  |          2
 S50_4713  | S18_3782  |         34
 S50_4713  | S18_4721  |         28
 S50_4713  | S24_1578  |         18
 S50_4713  | S24_1785  |          2
 S50_4713  | S24_1937  |          2
 S50_4713  | S24_2000  |          8
 S50_4713  | S24_2022  |          2
 S50_4713  | S24_2360  |         48
 S50_4713  | S24_2972  |          6
 S50_4713  | S24_3371  |         16
 S50_4713  | S24_3856  |          8
 S50_4713  | S24_4278  |          4
 S50_4713  | S24_4620  |         30
 S50_4713  | S32_1374  |          6
 S50_4713  | S32_2206  |         42
 S50_4713  | S32_4289  |          2
 S50_4713  | S32_4485  |         52
 S50_4713  | S50_1341  |          2
 S700_1138 | S10_2016  |          2
 S700_1138 | S10_4698  |          2
 S700_1138 | S10_4757  |         28
 S700_1138 | S12_1108  |         12
 S700_1138 | S12_3148  |         10
 S700_1138 | S12_3891  |         14
 S700_1138 | S18_1662  |         10
 S700_1138 | S18_2581  |          4
 S700_1138 | S18_2625  |          2
 S700_1138 | S18_3029  |         22
 S700_1138 | S18_3140  |         26
 S700_1138 | S18_3259  |         28
 S700_1138 | S18_3856  |         16
 S700_1138 | S18_4027  |          6
 S700_1138 | S18_4522  |         36
 S700_1138 | S24_1578  |          2
 S700_1138 | S24_1785  |          4
 S700_1138 | S24_2011  |         40
 S700_1138 | S24_2841  |         12
 S700_1138 | S24_3151  |         50
 S700_1138 | S24_3420  |         10
 S700_1138 | S24_3816  |         34
 S700_1138 | S24_3949  |          8
 S700_1138 | S32_3207  |          6
 S700_1138 | S50_1392  |          2
 S700_1138 | S50_1514  |         12
 S700_1691 | S10_1678  |         12
 S700_1691 | S10_2016  |         16
 S700_1691 | S10_4698  |         14
 S700_1691 | S10_4757  |          4
 S700_1691 | S12_1099  |          2
 S700_1691 | S12_2823  |          4
 S700_1691 | S18_1662  |         20
 S700_1691 | S18_2581  |         34
 S700_1691 | S18_2625  |         12
 S700_1691 | S18_3029  |         12
 S700_1691 | S18_3856  |         14
 S700_1691 | S24_1578  |          8
 S700_1691 | S24_1785  |         40
 S700_1691 | S24_2000  |         20
 S700_1691 | S24_2360  |          2
 S700_1691 | S24_2841  |         16
 S700_1691 | S24_3420  |         18
 S700_1691 | S24_3816  |          8
 S700_1691 | S24_3949  |         36
 S700_1691 | S24_4278  |         42
 S700_1691 | S32_1374  |         30
 S700_1691 | S32_4289  |         48
 S700_1691 | S32_4485  |          2
 S700_1691 | S50_1341  |         56
 S700_1691 | S50_4713  |          2
 S700_1938 | S10_4757  |         14
 S700_1938 | S12_1108  |         24
 S700_1938 | S12_3148  |         24
 S700_1938 | S12_3891  |         26
 S700_1938 | S12_4473  |          2
 S700_1938 | S18_1662  |          4
 S700_1938 | S18_2238  |          4
 S700_1938 | S18_2581  |          4
 S700_1938 | S18_3029  |         12
 S700_1938 | S18_3140  |         46
 S700_1938 | S18_3259  |         44
 S700_1938 | S18_3856  |          4
 S700_1938 | S18_4027  |         20
 S700_1938 | S18_4522  |         40
 S700_1938 | S24_1444  |          4
 S700_1938 | S24_1785  |          2
 S700_1938 | S24_2011  |         38
 S700_1938 | S24_2840  |          2
 S700_1938 | S24_2841  |          2
 S700_1938 | S24_3151  |         24
 S700_1938 | S24_3816  |         12
 S700_1938 | S24_4048  |          6
 S700_1938 | S32_3207  |         12
 S700_1938 | S50_1392  |          6
 S700_1938 | S50_1514  |         26
 S700_1938 | S700_1138 |         24
 S700_2047 | S10_1678  |          2
 S700_2047 | S10_2016  |          4
 S700_2047 | S10_4698  |          2
 S700_2047 | S10_4757  |         30
 S700_2047 | S18_1662  |         38
 S700_2047 | S18_2581  |          8
 S700_2047 | S18_2625  |          2
 S700_2047 | S18_3029  |         40
 S700_2047 | S18_3856  |         46
 S700_2047 | S18_4522  |          4
 S700_2047 | S24_1578  |          2
 S700_2047 | S24_1785  |         14
 S700_2047 | S24_2011  |          6
 S700_2047 | S24_2841  |         48
 S700_2047 | S24_3151  |         14
 S700_2047 | S24_3420  |         50
 S700_2047 | S24_3816  |         36
 S700_2047 | S24_3949  |         32
 S700_2047 | S24_4278  |         10
 S700_2047 | S32_4289  |         12
 S700_2047 | S50_1341  |         16
 S700_2047 | S700_1138 |         14
 S700_2047 | S700_1691 |         16
 S700_2466 | S10_1678  |          8
 S700_2466 | S10_2016  |         12
 S700_2466 | S10_4698  |         10
 S700_2466 | S10_4757  |         10
 S700_2466 | S12_1099  |          2
 S700_2466 | S12_2823  |          2
 S700_2466 | S18_1662  |         32
